Overall,Round,PickInRound,Team,Player,Position,NFLTeam,Price
"1","1","1","Unnecessary Sanctions","Jahmyr Gibbs","RB","DET",""
"2","1","2","Resting Blitz Face","Bijan Robinson","RB","ATL",""
"3","1","3","PapasCabezas","Christian McCaffrey","RB","SF",""
"4","1","4","I'll be white!!","Ja'Marr Chase","WR","CIN",""
"5","1","5","SACK OF WHEAT","Puka Nacua","WR","LAR",""
"6","1","6","The Brady Bunch","Jaxon Smith-Njigba","WR","SEA",""
"7","1","7","Knight Moves Ore Else","Amon-Ra St. Brown","WR","DET",""
"8","1","8","BlitzAndGiggles","Justin Jefferson","WR","MIN",""
"9","1","9","Bad Hombres","Jonathan Taylor","RB","IND",""
"10","2","1","Bad Hombres","James Cook III","RB","BUF",""
"11","2","2","BlitzAndGiggles","Chase Brown","RB","CIN",""
"12","2","3","Knight Moves Ore Else","CeeDee Lamb","WR","DAL",""
"13","2","4","The Brady Bunch","Saquon Barkley","RB","PHI",""
"14","2","5","SACK OF WHEAT","De'Von Achane","RB","MIA",""
"15","2","6","I'll be white!!","Drake London","WR","ATL",""
"16","2","7","PapasCabezas","Nico Collins","WR","HOU",""
"17","2","8","Resting Blitz Face","A.J. Brown","WR","NE",""
"18","2","9","Unnecessary Sanctions","Chris Olave","WR","NO",""
"19","3","1","Unnecessary Sanctions","Josh Allen","QB","BUF",""
"20","3","2","Resting Blitz Face","Omarion Hampton","RB","LAC",""
"21","3","3","PapasCabezas","Kenneth Walker III","RB","KC",""
"22","3","4","I'll be white!!","Trey McBride","TE","ARI",""
"23","3","5","SACK OF WHEAT","Rashee Rice","WR","KC",""
"24","3","6","The Brady Bunch","Travis Kelce","TE","KC",""
"25","3","7","Knight Moves Ore Else","Derrick Henry","RB","BAL",""
"26","3","8","BlitzAndGiggles","Ashton Jeanty","RB","LV",""
"27","3","9","Bad Hombres","Brock Bowers","TE","LV",""
"28","4","1","Bad Hombres","DeVonta Smith","WR","PHI",""
"29","4","2","BlitzAndGiggles","George Pickens","WR","DAL",""
"30","4","3","Knight Moves Ore Else","Malik Nabers","WR","NYG",""
"31","4","4","The Brady Bunch","Mike Evans","WR","SF",""
"32","4","5","SACK OF WHEAT","Breece Hall","RB","NYJ",""
"33","4","6","I'll be white!!","Garrett Wilson","WR","NYJ",""
"34","4","7","PapasCabezas","Zay Flowers","WR","BAL",""
"35","4","8","Resting Blitz Face","Tee Higgins","WR","CIN",""
"36","4","9","Unnecessary Sanctions","Houston Texans","DST","HOU",""
"37","5","1","Unnecessary Sanctions","Jeremiyah Love","RB","ARI",""
"38","5","2","Resting Blitz Face","Jordan Love","QB","GB",""
"39","5","3","PapasCabezas","Lamar Jackson","QB","BAL",""
"40","5","4","I'll be white!!","Drake Maye","QB","NE",""
"41","5","5","SACK OF WHEAT","Kyren Williams","RB","LAR",""
"42","5","6","The Brady Bunch","Patrick Mahomes II","QB","KC",""
"43","5","7","Knight Moves Ore Else","Emeka Egbuka","WR","TB",""
"44","5","8","BlitzAndGiggles","Joe Burrow","QB","CIN",""
"45","5","9","Bad Hombres","Ladd McConkey","WR","LAC",""
"46","6","1","Bad Hombres","Javonte Williams","RB","DAL",""
"47","6","2","BlitzAndGiggles","Sam LaPorta","TE","DET",""
"48","6","3","Knight Moves Ore Else","Travis Etienne Jr.","RB","NO",""
"49","6","4","The Brady Bunch","Seattle Seahawks","DST","SEA",""
"50","6","5","SACK OF WHEAT","Jaylen Waddle","WR","DEN",""
"51","6","6","I'll be white!!","D'Andre Swift","RB","CHI",""
"52","6","7","PapasCabezas","Colston Loveland","TE","CHI",""
"53","6","8","Resting Blitz Face","Davante Adams","WR","LAR",""
"54","6","9","Unnecessary Sanctions","Tyler Warren","TE","IND",""
"55","7","1","Unnecessary Sanctions","Ka'imi Fairbairn","K","HOU",""
"56","7","2","Resting Blitz Face","Terry McLaurin","WR","WAS",""
"57","7","3","PapasCabezas","Cam Skattebo","RB","NYG",""
"58","7","4","I'll be white!!","Bucky Irving","RB","TB",""
"59","7","5","SACK OF WHEAT","James Conner","RB","ARI",""
"60","7","6","The Brady Bunch","Stefon Diggs","WR","WAS",""
"61","7","7","Knight Moves Ore Else","Jalen Hurts","QB","PHI",""
"62","7","8","BlitzAndGiggles","Jayden Reed","WR","GB",""
"63","7","9","Bad Hombres","DJ Moore","WR","BUF",""
"64","8","1","Bad Hombres","Jameson Williams","WR","DET",""
"65","8","2","BlitzAndGiggles","Rachaad White","RB","WAS",""
"66","8","3","Knight Moves Ore Else","Jadarian Price","RB","SEA",""
"67","8","4","The Brady Bunch","Bhayshul Tuten","RB","JAC",""
"68","8","5","SACK OF WHEAT","George Kittle","TE","SF",""
"69","8","6","I'll be white!!","Luther Burden III","WR","CHI",""
"70","8","7","PapasCabezas","Christian Watson","WR","GB",""
"71","8","8","Resting Blitz Face","Tucker Kraft","TE","GB",""
"72","8","9","Unnecessary Sanctions","TreVeyon Henderson","RB","NE",""
"73","9","1","Unnecessary Sanctions","Marvin Harrison Jr.","WR","ARI",""
"74","9","2","Resting Blitz Face","Jayden Daniels","QB","WAS",""
"75","9","3","PapasCabezas","David Montgomery","RB","HOU",""
"76","9","4","I'll be white!!","Parker Washington","WR","JAC",""
"77","9","5","SACK OF WHEAT","Baker Mayfield","QB","TB",""
"78","9","6","The Brady Bunch","Caleb Williams","QB","CHI",""
"79","9","7","Knight Moves Ore Else","Quinshon Judkins","RB","CLE",""
"80","9","8","BlitzAndGiggles","Rhamondre Stevenson","RB","NE",""
"81","9","9","Bad Hombres","Carnell Tate","WR","TEN",""
"82","10","1","Bad Hombres","Justin Herbert","QB","LAC",""
"83","10","2","BlitzAndGiggles","Denver Broncos","DST","DEN",""
"84","10","3","Knight Moves Ore Else","Los Angeles Rams","DST","LAR",""
"85","10","4","The Brady Bunch","Kyle Pitts Sr.","TE","ATL",""
"86","10","5","SACK OF WHEAT","Dak Prescott","QB","DAL",""
"87","10","6","I'll be white!!","Jaylen Warren","RB","PIT",""
"88","10","7","PapasCabezas","Trevor Lawrence","QB","JAC",""
"89","10","8","Resting Blitz Face","DK Metcalf","WR","PIT",""
"90","10","9","Unnecessary Sanctions","Jaxson Dart","QB","NYG",""
"91","11","1","Unnecessary Sanctions","Harold Fannin Jr.","TE","CLE",""
"92","11","2","Resting Blitz Face","Rico Dowdle","RB","PIT",""
"93","11","3","PapasCabezas","KC Concepcion","WR","CLE",""
"94","11","4","I'll be white!!","Rome Odunze","WR","CHI",""
"95","11","5","SACK OF WHEAT","Chris Godwin Jr.","WR","TB",""
"96","11","6","The Brady Bunch","Pittsburgh Steelers","DST","PIT",""
"97","11","7","Knight Moves Ore Else","Brandon Aubrey","K","DAL",""
"98","11","8","BlitzAndGiggles","Khalil Shakir","WR","BUF",""
"99","11","9","Bad Hombres","Philadelphia Eagles","DST","PHI",""
"100","12","1","Bad Hombres","Jason Myers","K","SEA",""
"101","12","2","BlitzAndGiggles","Wan'Dale Robinson","WR","TEN",""
"102","12","3","Knight Moves Ore Else","Michael Pittman Jr.","WR","PIT",""
"103","12","4","The Brady Bunch","Cameron Dicker","K","LAC",""
"104","12","5","SACK OF WHEAT","Jordan Addison","WR","MIN",""
"105","12","6","I'll be white!!","Tony Pollard","RB","TEN",""
"106","12","7","PapasCabezas","Jonathon Brooks","RB","CAR",""
"107","12","8","Resting Blitz Face","Courtland Sutton","WR","DEN",""
"108","12","9","Unnecessary Sanctions","Cam Little","K","JAC",""
"109","13","1","Unnecessary Sanctions","Buffalo Bills","DST","BUF",""
"110","13","2","Resting Blitz Face","New England Patriots","DST","NE",""
"111","13","3","PapasCabezas","Los Angeles Chargers","DST","LAC",""
"112","13","4","I'll be white!!","Minnesota Vikings","DST","MIN",""
"113","13","5","SACK OF WHEAT","Jacksonville Jaguars","DST","JAC",""
"114","13","6","The Brady Bunch","Hunter Henry","TE","NE",""
"115","13","7","Knight Moves Ore Else","Dallas Goedert","TE","PHI",""
"116","13","8","BlitzAndGiggles","Eddy Pineiro","K","SF",""
"117","13","9","Bad Hombres","Matthew Stafford","QB","LAR",""
"118","14","1","Bad Hombres","J.K. Dobbins","RB","DEN",""
"119","14","2","BlitzAndGiggles","Jalen McMillan","WR","TB",""
